id,subject,body,t1_final,t2_final
37436,BM:Re:,"
--Apple-Mail=_32F75F60-B254-4807-9C01-AA820DACDE03
Content-Transfer-Encoding: quoted-printable
Content-Type: text/plain;
	charset=us-ascii

http://mind.playahermosahome.com/Richard_Grafton <http://mind.playahermosahome.com/Richard_Grafton> I never would have =
thought it possible!


Richard Grafton=

--Apple-Mail=_32F75F60-B254-4807-9C01-AA820DACDE03
Content-Transfer-Encoding: 7bit
Content-Type: text/html;
	charset=us-ascii

<html><head><meta http-equiv=""Content-Type"" content=""text/html charset=us-ascii""></head><body style=""word-wrap: break-word; -webkit-nbsp-mode: space; -webkit-line-break: after-white-space;"" class=""""><a href=""http://mind.playahermosahome.com/Richard_Grafton"" class="""">http://mind.playahermosahome.com/Richard_Grafton</a>&nbsp;I never would have thought it possible!<div class=""""><br class=""""></div><div class=""""><i class=""""><u class=""""><br class=""""></u></i></div><div class="""">Richard Grafton</div></body></html>
--Apple-Mail=_32F75F60-B254-4807-9C01-AA820DACDE03--
",e2M Listing,VeRO - CCR
37437,"BM:Special Summer Window Deals on Andersen, Marvin, Pella & More","Special Summer Window Deals on Pella, Andersen, Marvin & more, Only Here- http://choosehere.galcock.top/c/13097187  


Went here right after the Laura Ingalls Wilder museum. Very tasty pizza, and nice service. It has a nice home feeling, because there's not always a lot of... Wow what a surprise. Great food! We had the burgers and steak fries! Fantastic!  Lauren was our server and she was terrific as well. Will stop again if we... Cute little hole-in-the-wall cafe. Not much to look at, but clean and friendly wait staff. Our service was not super fast, but I chalk that up to getting... This is a great old place, the kind that seems stuck (in a good way) in another era.  The restaurant is located in a large white farm house, which is... Just finished enjoying the breakfast buffet. Bacon and sausage were really good, and the biscuits were mile high and perfect. Gravy had good flavor. Our... This is my favorite restaurant in Marshfield, by far. I've never ordered anything that I didn't like. The service is usually great. The servers make me a... Complf345e3d72c13bb6760b337ba83c3743a
",e2M Listing,VeRO - CCR
37438,Notice and takedown (05-10-2016 15:30:03),"Notice of infringement on behalf of Calvin Klein Reason code 1.1
*Ebay
 ATTN Notice and Take down program*

 *October 05, 2016*

 Dear Vero team,

 I, Jan Maarten Laurijssen of Pointer Brand Protection & Research solemnly
and sincerely declare as follows:

   - I am the owner, or an agent authorised to act on behalf of the owner,
of certain intellectual property rights (""IP Owner""); Calvin Klein
  - I have a good faith belief that the advertisement(s) as mentioned below
offer items or contain materials that, according to applicable legislation,
infringe the IP Owner's rights; 
  - I indemnify Ebay and all her affiliates for any third party claims with
regard to the removal of the advertisement(s) concerned; 
  - The information in this declaration is true and correct.
 
 The advertisement(s) below are related to unlawful replica(s) of a product
made by the trademark owner. This constitutes trademark infringement.

 I state under penalty of perjury that all the information in this
declaration is true and correct, and that we are authorized to act on
behalf of the IP owner.

  I solemnly and sincerely declare that use of the material in the manner
complained of above is not authorized by the Intellectual Property Owner,
its agent, or the law. The information in this Notice of Claimed
Infringement is accurate, and under penalty of perjury, I am author",e2M Listing,VeRO - CCR
37439,Re: VeRO Program -- eBay Listing Removed,"Thank you. Please can you forward me the trader's personal details? The
reason code to support our report is noted below.

Zoe Le Jeune





________________________________
From: vero@ebay.com <vero@ebay.com>
Sent: 04 October 2016 09:45
To: admin1
Subject: VeRO Program -- eBay Listing Removed

Thank you for contacting us.

We are pleased to inform you that the following listing(s) you reported have been removed from eBay in response to the Notice of Claimed Infringement you recently sent:

tamathafish - 5.2
222268837504

We have notified the seller and all participating bidders that the listing(s) has been removed due to your request.

If the Notice of Claimed Infringement contained items that are not listed above you will receive a separate email communication about those items. These notices may arrive at different times (over a period of up to several hours) as items for different sellers are processed separately.

If you should have any questions or concerns regarding this matter, please do not hesitate to contact us again.

VeRO Program
eBay Trust & Safety

",e2M Listing,VeRO - CCR
37440,Report a member,"Sent:	2016-10-05 00:51:36.0

Subject:	Report a member

Enter your question / concern:	Dear TeamI recently sold an item to a buyer called (Hansogo).  The item was a FIFA 2017 autobuyer.After purchasing the item (Hansogo) has relisted the item using my exact listing to sell it to other people.  The link he is selling is my creation and Hansogo is not authroised to reuse it in any listings current or futureI ask that (Hansogo) be prevented from listing this item currently and in the future.ThanksJustin Ray

Send a copy to my email address.:	on",e2M Listing,VeRO - CCR
37441,,NULL,Specialty,Logistics - CCR
37442,RE: VeRO Program -- eBay Listing Removed,"Dear Sirs, 

Thank you for your assistance.

Regards 

Sunny Yadu
Lexsynergy Limited 
Brand Protection Services 
Tel: +44 20 313 70459 (UK) 
Tel: + 1 858 225 1318  (US) 
Web: lexsynergy.com 
Contact Info: lexsynergy.tel 

Domain Management II Global Registrations ll Escrow ll Domain Recovery ll
Domain Audits ll Watch Services 
Follow us: Twitter ll Facebook ll Linkedin 
Sites: Lexsynergy.com ll Lexsynergy Blog

-----Original Message-----
From: vero@ebay.co.uk [mailto:vero@ebay.co.uk] 
Sent: 05 October 2016 05:45
To: brandprotection@lexsynergy.com
Subject: VeRO Program -- eBay Listing Removed

Thank you for contacting us. 

We are pleased to inform you that the following listing(s) you reported have
been removed from eBay in response to the Notice of Claimed Infringement you
recently sent:

oveslimited
141996160546

We have notified the seller and all participating bidders that the
listing(s) has been removed due to your request.  

If the Notice of Claimed Infringement contained items that are not listed
above you will receive a separate email communication about those items.
These notices may arrive at different times (over a period of up to several
hours) as items for different sellers are processed separately.

If you should have any questions or concerns regarding this matter, please
do not hesitate to contact us again.

VeRO Pro",e2M Listing,VeRO - CCR
37443,,NULL,Specialty,Logistics - CCR
37444,Policy General,"This is the right adress, I have updated my telephone number.
Best regards, Lena Skott


      From: ""customerhelp@ebay.com"" <customerhelp@ebay.com>
 To: skottmarilena@yahoo.com 
 Sent: Thursday, October 6, 2016 2:04 AM
 Subject: eBay item undeliverable to your address - SR# 1-88173786173
   
#yiv7960993588 .yiv7960993588header{background-color:#f9f9f9;font-family:Helvetica Neue, Helvetica, Arial;font-size:11px;}#yiv7960993588 body{margin:16px;color:#333333;background-color:#f9f9f9;font-family:Helvetica Neue, Helvetica, Arial;font-size:14px;font-weight:normal;font-style:normal;line-height:1.2;}#yiv7960993588 #yiv7960993588email p{margin:14px 0;}#yiv7960993588 #yiv7960993588email a{color:#0563C1;}#yiv7960993588 .yiv7960993588subject{font-size:18px;margin:16px 0 30px 0;}#yiv7960993588 .yiv7960993588thanks{margin:36px 0 90px 0 !important;}#yiv7960993588 .yiv7960993588footer{background-color:#FFFFFF;font-family:Helvetica Neue, Helvetica, Arial;font-size:11px;}#yiv7960993588 .yiv7960993588info{color:#767676;font-size:12px;font-family:Neue, Helvetica, Arial;}  eBay item undeliverable to your address - SR# 1-88173786173

Hello respit13, We're having trouble delivering your order of eBay item 262568761117 from stagtoothvintageco (ORA: A1536049645NO). This is usually caused by an incomplete or unrecognized address or phone number.
 
 Please review the delivery address and p",Specialty,Logistics - CCR
37445,Re: Important Case (5113438418) Update: Case Closed SR# 1-87459597274,"I tried to refund the money but the case solution page wasn't let me do the refund. The page appears showing server was not good just like in the picture. 


> On Sep 28, 2016, at 12:52 PM, highvalueclaimsinfo@ebay.com wrote:
> 
> 
> Important Case (5113438418) Update: Case Closed SR# 1-87459597274
> 
> 
> Hello Rodolfo,
>  
> We are following up with you today in regards to the music man bongo (eBay item: 112098248617) that you recently sold. We understand from the case that the item condition is far from mint condition.  We understand the frustration you’ve experienced during this transaction and apologize for the inconvenience this has caused. We want to work with you to ensure that this issue is resolved in a timely manner.
>  
> We also appreciate your patience while we respond to your email. We have had a recent influx of emails, and since each one is answered personally it has taken us some time to reply to everyone.
>  
> After reviewing the recent details of your case, it appears that we had requested that a refund be issued to your buyer on 9/19/2016. Since no refund was issued by you, we have released the refund to your buyer.  We will be deducting the funds from your PayPal account or other reimbursement payment method.
>  
> We realize that this transaction has not gone as expected, but we hope that we have been able to explain why this happened an",M2M Escalation,Buyer Protect High ASP Claim
37446,,"Dear Deven J.

I have just sent a PayPal Payment to the Buyer in the amount of $22.35 USD
for return postage for the 1921 Missouri Half Dollar archive. I left
instructions to send it by insured mail ($1,030.00 value) to:

Garofalo
P. O. Box 720628
Norman, OK 73070

The PayPal transaction is: Transaction ID: 9TG308474E1811336

The Payment was sent to the email address for eBay Bidder ""Ourjoe"" which is
aliciaforward@gmail.com.

I believe that we have complied with your instructions and await the return
of our items in good condition. Upon receipt we will issue a refund of
$1,030.00 to the same email address.

Please let me know if I need to so anything further.

Thank you for your help.

Barbara Garofalo (nufsiyabe)

On Wed, Oct 5, 2016 at 11:52 AM, <highvalueclaimsinfo@ebay.com> wrote:

> [image: eBay]
> Important Case (5115200761) Update: Your Action Required SR# 1-88142044881
>
>
> Hello Barbara,
>
>
>
> We are following up with you today in regards to the 262621251978 (eBay
> item: 1921 Missouri 2X4  Ch BU Coin) that you recently sold. I understand
> the buyer opened the case stating The coin has been improperly cleaned.We
> understand the frustration you’ve experienced during this transaction and
> apologize for the inconvenience this has caused. We appreciate the
> opportunity to work with you to resolve this issue.
>
>
>
> We als",M2M Escalation,Buyer Protect High ASP Claim
37447,Listing(s) uses unauthorized copy of copyrighted text [Case #429347],"
Notice of Claimed Infringement - Statutory Declaration


eBay International A.G.
Attn: VeRO Programme


Fax: +44 (0) 870 458 4522

Date: 05-Oct-2016

Dear eBay,

I, Brenda Readman-Bell of J. Barbour & Sons Ltd do solemnly and sincerely declare as follows:

- I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner's rights according to English law; and

- I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:
Address of the rights owner:

I may be contacted at:

Name of IP Owner: J. Barbour & Sons Ltd
Name and Title of the author of the Notice: Brenda Readman-Bell
Company of the author of the Notice: J. Barbour & Sons Ltd
Address: Simonside, South Shields, Tyne & Wear,  NE34 9PD
Email address (for communication with eBay): barbour@enforcements.markmonitor.com
email address (for communication with sellers)*: brandprotection@mm-barbour.com
Telephone: 0044.208.6851875
Fax: 0044.208.6851875

* please fill in, if you wish to have a different address.

In addition to the undersigned, the following",e2M Listing,VeRO - CCR
